country_code,country,life_expectancy,gdp_per_capita,health_expenditure,obesity,smoking,air_pollution
SLE,Sierra Leone,61.275,860.371067916096,4.80377436,7.1300082,12.9,43.2210935036927
SGP,Singapore,82.8951219512195,90299.0694637269,4.33121586,13.876627,16.4,13.8691955865476
SVK,Slovak Republic,76.9658536585366,21317.7943982363,7.70245218,26.824254,32.4,15.3916194257365
SVN,Slovenia,81.2829268292683,28360.3041467268,9.62683296,19.44181,20.1,14.2911527506818
SLB,Solomon Islands,70.409,1877.78104490956,4.82418394,22.602381,36.9,13.9542830081778
ESP,Spain,83.1341463414634,30319.4987196616,9.6799593,15.66913,28.4,9.58105460690675
LKA,Sri Lanka,77.3,3342.63650253855,3.98300457,10.563637,19.5,19.9644408635608
LCA,St. Lucia,72.67,13103.8243147472,4.74750614,33.465132,13.8,23.7585855502375
SWE,Sweden,83.0585365853659,54836.8907235124,10.85505676,15.267009,22.7,5.63670790600148
CHE,Switzerland,83.6048780487805,94394.5106803525,11.59911823,12.111413,25.5,9.06104968621636
TZA,Tanzania,66.879,1207.52062988281,3.13497496,12.583247,9.3,25.081431153535
THA,Thailand,75.291,6909.35281815827,5.35471153,15.384609,19.2,31.0072016277159
TLS,Timor-Leste,67.368,2343.24954740187,7.46371841,2.3503538,38.7,17.4104661970888
TGO,Togo,62.292,951.232378690387,6.24094057,11.560986,6.4,51.6661369398223
TON,Tonga,72.635,5298.01941509951,7.95276737,71.650124,31.3,12.4784129504796
TUN,Tunisia,76.05,3707.29283414381,7.51270723,26.832232,20.5,24.1829826735327
TUR,Turkiye,77.591,10897.8397861365,3.70338893,33.300826,30.5,21.6120469179783
TKM,Turkmenistan,69.913,5837.84224538947,5.37103748,21.402203,5.6,19.5997611438189
TUV,Tuvalu,66.852,5911.32727055301,21.28792,64.199525,33.7,5.91780105591262
UGA,Uganda,67.675,963.067314117178,4.45071125,7.9045609,7.5,33.8077192571642
GBR,United Kingdom,81.0112195121951,47057.043229179,11.09679794,26.820251,14.2,9.91288560282114
URY,Uruguay,76.468,20818.6146091144,8.89015961,33.343792,20.5,10.5717923259135
UZB,Uzbekistan,72.147,2578.66689394219,6.61703825,30.028453,16.7,31.9604294559849
VNM,Viet Nam,74.502,4147.69777213621,4.53809595,2.0157427,22.5,20.8010641731194
ZMB,Zambia,65.279,1447.12310138035,5.21042967,11.078548,14.6,24.3085919008655
ZWE,Zimbabwe,62.36,2536.40050223076,3.39519501,14.210777,11.3,19.4941796611344
